Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,MPN,MFN,PurchasingLink,Package
1,DIODE SCHOTTKY 100V 1A SOD123,D_Schottky_SOD123,D1,D_Schottky_SOD123,D_SOD-123W_OEM,1,https://assets.nexperia.com/documents/data-sheet/PMEG10010ELR.pdf,1727-2394-1-ND,Digi-Key,https://www.digikey.com/product-detail/en/nexperia-usa-inc/PMEG10010ELRX/1727-2394-1-ND/5436140,
2,,F_3.15A_450V,F1 F2,F_3.15A_450V,Fuse_TE7_Littelfuse-807Series,2,http://www.mouser.com/ds/2/240/Littelfuse_Fuse_807_Datasheet.pdf-794915.pdf,80713150440,Mouser,https://www.mouser.com/ProductDetail/Littelfuse/80713150440/?qs=%2fha2pyFaduj6aUSS3K8RSlC9flo%2fx0HLwwpdMiFRoD3Yb7kI5hEeOg%3d%3d,Value
3,ULTRAFIT CONN HDR 02CKT,Ultrafit_2,J6,EM/Precharge,Ultrafit_2,1,,WM11570-ND,Digi-Key,https://www.digikey.com/product-detail/en/molex-llc/1722861102/WM11570-ND/5344267,Value
4,ULTRAFIT CONN HDR 02CKT,Ultrafit_2,J5,IMD,Ultrafit_2,1,,WM11570-ND,Digi-Key,https://www.digikey.com/product-detail/en/molex-llc/1722861102/WM11570-ND/5344267,Value
5,ULTRAFIT CONN HDR 02CKT,Ultrafit_2,J2,Shutdown Circuit,Ultrafit_2,1,,WM11570-ND,Digi-Key,https://www.digikey.com/product-detail/en/molex-llc/1722861102/WM11570-ND/5344267,Value
6,ULTRAFIT CONN HDR 02CKT,Ultrafit_2,J4,TSAL,Ultrafit_2,1,,WM11570-ND,Digi-Key,https://www.digikey.com/product-detail/en/molex-llc/1722861102/WM11570-ND/5344267,Value
7,mx150L_2,mx150L_2,J3,TSMP,mx150l_2,1,http://www.literature.molex.com/SQLImages/kelmscott/Molex/PDF_Images/987650-2181.pdf,,,,Value
8,ULTRAFIT CONN HDR 02CKT,Ultrafit_2,J1,Unfused TS,Ultrafit_2,1,,WM11570-ND,Digi-Key,https://www.digikey.com/product-detail/en/molex-llc/1722861102/WM11570-ND/5344267,Value
9,"Omron G5G relay, Miniature Single Pole, SPDT, 10A",G2RL-1-E,K1,G2RL-1-E,Relay_SPDT_OMRON-G2RL-1-E,1,http://omronfs.omron.com/en_US/ecb/products/pdf/en-g2rl.pdf,Z2834-ND,Digi-Key,https://www.digikey.com/product-detail/en/omron-electronics-inc-emc-div/G2RL-1-E-DC12/Z2834-ND/368834?WT.srch=1&gclid=CjwKCAjw7MDPBRAFEiwAppdF9Hq_oi1W3KBGxJPPM2RUBlXwE31iIe8Dui3_bYGZrJP0d0zIX0IHKBoCkWsQAvD_BwE,Value
10,Res 10k 1%,R_10k_HV,R2 R3,R_10k_HV,R_10K_HV,2,http://www.vishay.com/docs/28731/pacserie.pdf,PPC5D10.0KCT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=PPC5D10.0KCT-ND,Value
11,3k ohm 100 w rating,R_3k_HS,R1,R_3k_HS,R_3k_HS_TO247,1,http://dpk3n3gg92jwt.cloudfront.net/domains/ohmite/pdf/acl_ap101.pdf,AP101 3K J,Digi-Key,https://www.digikey.com/product-detail/en/ohmite/AP101-3K-J/AP101-3K-J-ND/5878525,Value





Component Groups:,11
Component Count:,13
Fitted Components:,13
Number of PCBs:,1
Total components:,13
Schematic Version:,
Schematic Date:,
BoM Date:,Mon 05 Feb 2018 09:41:58 PM EST
Schematic Source:,/home/william/Desktop/Formula/MK_III-Boards/boards/discharge_circuit/discharge_circuit.sch
KiCad Version:,Eeschema 4.0.7-e2-6376~58~ubuntu16.04.1
